index,name,intl_name,brand_name,brand_intl_name,year_month,rank,score,f1,f2,f3,f4,f5,f6,flavour_tags,checkin_count,pictures,id,f_mean
31,駒泉,Komaizumi,青森県,Aomori,202001,14,4.006611347198486,0.2971364259719849,0.25023552775383,0.4643636345863342,0.6914816498756409,0.2450169324874878,0.3086719810962677, 力強い 穀物 ほのか 砂糖 なめらか ふっくら ハチミツ 重い じわじわ ミルク 円やか ちびちび 花 コク ふくよか 深み 渋み 甘酸っぱい 柑橘 綺麗,29,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2iUEv89zOETFC6|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/26ObTPjb6QkHsm|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/30WsDF21cUBFYg,31,0.37615102529525757
32,モヒカン娘,Mohikanmusume,青森県,Aomori,202001,15,4.006608486175537,0.43129783925389337,0.38888626825386446,0.2650260910264921,0.39143983927855314,0.3843119718072857,0.49253576695235546, 清涼 ラムネ 爽快 フルーティ ピリリ さっぱり 余韻 バランス スッキリ キレ 甘味 酸味 旨味 辛口,30,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1gnxo9sDRDfFhs|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2veZabym0JjJl9|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Ju4NdXGh3ctmi,32,
33,如空,如空,青森県,Aomori,202001,16,4.006605625152588,0.2755645215511322,0.4145351052284241,0.26758915185928345,0.6113719344139099,0.3427345454692841,0.43517613410949707, ふくよか 常温 若い じっくり 爽快 辛口 深み 柔らかい 優しい 酸味 さわやか 柑橘 あっさり 余韻 穀物 華やか さらり フルーティ 甘味 ほのか,55,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/JsFfQws13IEfW|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/MRMbVhT96MXrD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2JaDpFePnF1VmL,33,0.3911618987719218
34,安東水軍,安東水軍,青森県,Aomori,202001,17,4.006605625152588,0.15223461389541626,0.5039039850234985,0.5633807182312012,0.5655440092086792,0.26328060030937195,0.12787066400051114, ジューシー カラメル 蜜 どっしり リンゴ 熱燗 冷酒 優しい 余韻 なめらか ふくよか ヨーグルト 酸味 苦味 軽快 穏やか 旨味 まろやか 濃厚 フルーティ,22,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/4zzMDwultTykU|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2dphZdFIcsfPXS|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/WxH1KcQ2X3vl4,34,0.36270243177811307
35,白神,Shirakami,青森県,Aomori,202001,18,4.006604194641113,0.36229170134161665,0.3646733523000393,0.2913752630088359,0.44350052791877115,0.42720573170430975,0.45557182817778297, ふっくら 柑橘 どっしり 薄い 控えめ キリリ 綺麗 穏やか キレ さっぱり ほのか 酸味 辛口 旨味 スッキリ 甘味,28,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/17cufzg3QMzkwc|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/StYt4OUss2rKU|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1eDiiPKh6UInqL,35,
36,七郎兵衛,,青森県,Aomori,202001,19,4.006604194641113,0.32233696164712805,0.42385123288290477,0.36020362836159536,0.4804538254271764,0.3605084591780352,0.3908359722531487, 燗冷まし 複雑 豊か 柑橘 ツン 薄い 熱燗 なめらか しっかり 優しい 余韻 まろやか 甘味 濃厚 旨味 辛口 酸味 スッキリ,23,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/95FhistHwMiQJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2pPaNFT9qzLjpM|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/QecJJThRfWYNN,36,
37,鯵ケ澤,鯵ケ澤,青森県,Aomori,202001,20,4.006602764129639,0.38004493784984184,0.37714398178560793,0.2748284931090259,0.43616891304991035,0.42676614688499204,0.46466501253470127, どっしり キリリ さっぱり 旨味 辛口 甘味,9,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1gYuIZwE6w4k4v|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/JAjgo7u7HkmAJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2cplx8EPx5rmkh,37,
38,赤武,Akabu,岩手県,Iwate,202001,1,4.412219047546387,0.4991683661937714,0.4105939865112305,0.1893460601568222,0.3651290833950043,0.3477061986923218,0.5405300259590149, フルーティ 甘味 酸味 ガス 旨味 スッキリ さわやか リンゴ バランス キレ しっかり ピチピチ フレッシュ 甘酸っぱい 穀物 スイスイ 若い さっぱり ふんわり パイナップル,1098,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2zkF5TkaUAE5LT|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/q1YwlUoUuX5lA|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1lBQAd8S2EtVyj,38,0.3920789534846942
39,南部美人,Nanbubijin,岩手県,Iwate,202001,2,4.024716377258302,0.3813049495220184,0.4124593734741211,0.21894295513629916,0.5779385566711426,0.3746791481971741,0.402678906917572, フルーティ 甘味 辛口 スッキリ まろやか 旨味 酸味 華やか 柔らかい プラム ふくよか 優しい 常温 安定 ほのか 芳醇 濃厚 熱燗 ふんわり コク,644,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/17hS2gwbig3jJn|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/m19fCNnMlEMbg|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2UboBVf2lcsFHo,39,0.3946673149863879
40,あさ開,Asabiraki,岩手県,Iwate,202001,3,4.0091800689697275,0.3241160809993744,0.3620212972164154,0.3337262272834778,0.4813117682933808,0.4911417663097382,0.42383357882499695, 辛口 スッキリ ワイン 優しい 甘味 旨味 重い 冷酒 熱燗 まろやか 軽快 キレ 常温 どっしり スイスイ フルーティ ほのか 華やか 飴 ライチ,300,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2phHkN1yo0EyAD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1yPibZTb2ao0Ig|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/9UtW2noisyne7,40,0.4026917864878972
41,酔右衛門,Yoemon,岩手県,Iwate,202001,4,4.008331298828125,0.37537139654159546,0.2660213112831116,0.22189468145370486,0.479540765285492,0.4057625830173493,0.5869319438934326, 酸味 グレープフルーツ フレッシュ 辛口 穀物 キャラメル 鮮烈 ゴクゴク 硬い 複雑 ピリリ しっかり さっぱり ふっくら 控えめ ガス マイルド スッキリ じわじわ 爽快,197,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2tOHOgwDCRLc1W|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1PVcoc7WcQvEKQ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2zdmwdtVyRCqpa,41,0.38925378024578094
42,浜千鳥,,岩手県,Iwate,202001,5,4.007369041442871,0.31750059127807617,0.25217902660369873,0.3521866500377655,0.5740119218826294,0.4478384852409363,0.42604535818099976, 香ばしい 蜜 華やか ナッツ スッキリ 昔ながら さらり チョコレート 丸み 穏やか 旨味 辛口 上品 しっかり キレ 柔らかい ジューシー フルーティ 酸味 あっさり,102,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/13iZ758Qrd10Jp|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/30YO5FY97pKAg4|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/t5ljpeupbsHvS,42,0.3949603388706843
43,タクシードライバー,Taxi Driver,岩手県,Iwate,202001,6,4.007211208343507,0.3221912384033203,0.5178423523902893,0.4567767381668091,0.4365351796150208,0.3040372431278229,0.3693041503429413, 酸味 スパイス 熱燗 力強い 旨味 深み 甘味 辛口 桜 洋梨 芳醇 コク 重い ツン まろやか ワイン じっくり 濃厚 グレープフルーツ じわじわ,238,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/VvuHv1RIbOmMx|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/GZVh9KpRAzRxO|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2PxhvSoYwjS19s,43,0.40111448367436725
